,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
105362,53305,Evan Reese Jager,M,27.0,188.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
106929,54056,Jessica Javelet,F,31.0,168.0,64.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
108290,54731,Kanak Jha,M,16.0,166.0,51.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
108291,54731,Kanak Jha,M,16.0,166.0,51.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,
108875,55052,Charles Jock,M,26.0,191.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,
109440,55332,Ashleigh Johnson,F,21.0,186.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
109525,55372,Felisha Johnson,F,27.0,185.0,127.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,
109574,55406,Kathryn Johnson,F,24.0,178.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
109596,55416,Kibw Rasheid Johnson,M,35.0,188.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,
109713,55461,Steele Alexander Johnson,M,20.0,188.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Platform,
109714,55461,Steele Alexander Johnson,M,20.0,188.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Silver
109717,55463,Steve Johnson,M,26.0,188.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,
109718,55463,Steve Johnson,M,26.0,188.0,86.0,United States-2,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Bronze
109772,55498,"Abigail Louise ""Abby"" Johnston",F,26.0,165.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Springboard,
109795,55515,Julie Beth Johnston (-Ertz),F,24.0,170.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
110505,55874,"Hyland DeAndre Jordan, Jr.",M,28.0,211.0,120.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
110583,55916,Gwen Rosemary Jorgensen (-Lemieux),F,30.0,178.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,Gold
112345,56887,Chase Tyler Kalisz,M,22.0,193.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,Silver
112432,56934,Megan Elizabeth Kalmoe,F,32.0,178.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,
112681,57081,"Jacob Robert ""Jake"" Linde-Kaminski ",M,27.0,178.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,
112682,57081,"Jacob Robert ""Jake"" Linde-Kaminski ",M,27.0,178.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Silver
113030,57265,Alisa Kano,F,21.0,163.0,48.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
113100,57297,Ben Kanute,M,23.0,183.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,
114061,57777,"Alexander ""Alex"" Karwoski",M,25.0,193.0,91.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
114077,57788,Devery Karz,F,28.0,173.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,
114282,57878,Michelle Plourde Kasold,F,29.0,161.0,53.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
114342,57905,"Stephen ""Steve"" Kasprzyk",M,34.0,201.0,103.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,
115264,58405,"Mebrahtom R. ""Meb"" Keflezighi",M,41.0,166.0,56.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
115683,58608,Leyla Alev Kelter,F,25.0,168.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,
115866,58688,Sam Kendricks,M,23.0,185.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Bronze
116595,58994,Madison Keys,F,21.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,
117755,59588,Lee Kiefer,F,22.0,163.0,49.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",
117767,59596,Lauren Kieffer,F,29.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
117768,59596,Lauren Kieffer,F,29.0,178.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
119463,60479,Edward King,M,27.0,193.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,
119499,60494,Lilly King,F,19.0,175.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,Gold
119500,60494,Lilly King,F,19.0,175.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,
119501,60494,Lilly King,F,19.0,175.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
119512,60499,Morghan Whitney King,F,30.0,153.0,48.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,
119652,60572,"Jaclyn Elisabeth ""Jackie"" Kintzer-Briggs",F,28.0,168.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
119674,60588,Shadrack Kipchirchir,M,27.0,173.0,54.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",
121236,61293,Meghan Elizabeth Klingenberg,F,28.0,157.0,55.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
122274,61812,Madison Taylor Kocian,F,19.0,157.0,46.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
122275,61812,Madison Taylor Kocian,F,19.0,157.0,46.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,Silver
123211,62260,Kelsey Kolojejchick,F,24.0,161.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
123600,62449,Josh Konieczny,M,25.0,180.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,
124311,62791,Leonard Essau Korir,M,29.0,170.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",
124440,62854,Mariya Koroleva,F,26.0,165.0,56.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,
125630,63392,"Joseph Mathias ""Joe"" Kovacs",M,27.0,183.0,134.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,Silver
126027,63560,Lucas Kozeniesky,M,21.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",
127005,64032,"Alexandra Blaire ""Ali"" Krieger",F,32.0,168.0,63.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
128243,64576,"Matthew Gregory ""Matt"" Kuchar",M,38.0,193.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,Bronze
128374,64637,Denis Kudla,M,23.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,
130227,65542,"Erik Kynard, Jr.",M,25.0,194.0,89.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,
130811,65854,Bernard Kipchirchir Lagat,M,41.0,173.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",
131392,66131,Stephen Lambdin,M,28.0,188.0,109.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,
132828,66861,Jordan Quinn Larson-Burbach,F,29.0,188.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
133203,67047,Grace Latz,F,28.0,183.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,
133770,67357,Jarrion Lawson,M,22.0,188.0,78.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
133771,67357,Jarrion Lawson,M,22.0,188.0,78.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
134187,67558,"Robert ""Bobby"" Lea",M,32.0,188.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Omnium,
134632,67746,"Kathleen Genevieve ""Katie"" Ledecky",F,19.0,183.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,Gold
134633,67746,"Kathleen Genevieve ""Katie"" Ledecky",F,19.0,183.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,Gold
134634,67746,"Kathleen Genevieve ""Katie"" Ledecky",F,19.0,183.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,Gold
134635,67746,"Kathleen Genevieve ""Katie"" Ledecky",F,19.0,183.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
134636,67746,"Kathleen Genevieve ""Katie"" Ledecky",F,19.0,183.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
134825,67839,David Cameron Lee,M,34.0,203.0,105.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
134885,67867,Eva Lee,F,29.0,168.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,
136950,68847,Marion Lepert,F,20.0,178.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,
137782,69258,Stacy Lewis (-Chadwell),F,31.0,165.0,60.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,
137852,69285,Danell Johan Leyva Gonzalez,M,24.0,170.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,
