ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
31055,Chlo Dygert (-Owen),F,19.0,176.0,66.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Cycling,"[""Cycling Women's Team Pursuit""]",['Silver']
31205,Ashton James Eaton,M,28.0,186.0,81.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Decathlon""]",['Gold']
31277,Nate Ebner,M,27.0,185.0,98.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rugby Sevens,"[""Rugby Sevens Men's Rugby Sevens""]",[nan]
31687,Casey Eichfeld,M,26.0,178.0,77.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Canoeing,"[""Canoeing Men's Canadian Doubles, Slalom"", ""Canoeing Men's Canadian Singles, Slalom""]",[nan]
31708,Kiana Eide,F,17.0,160.0,54.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,"[""Rhythmic Gymnastics Women's Group""]",[nan]
31782,Tracy Eisser,F,26.0,185.0,84.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rowing,"[""Rowing Women's Quadruple Sculls""]",[nan]
32316,"Walton Glenn Eller, III",M,34.0,188.0,82.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Shooting,"[""Shooting Men's Double Trap""]",[nan]
32382,Taylor Ellis-Watson,F,23.0,183.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's 4 x 400 metres Relay""]",['Gold']
32384,Brady Lee Ellison,M,27.0,181.0,86.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Archery,"[""Archery Men's Team"", ""Archery Men's Individual""]","['Bronze', 'Silver']"
32404,Amanda Elmore,F,25.0,180.0,80.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rowing,"[""Rowing Women's Coxed Eights""]",['Gold']
32517,"Matthew D. ""Matt"" Emmons",M,35.0,175.0,84.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Shooting,"[""Shooting Men's Small-Bore Rifle, Three Positions, 50 metres""]",[nan]
32652,Whitney Elizabeth Engen,F,28.0,170.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Football,"[""Football Women's Football""]",[nan]
32779,Christina Epps,F,25.0,175.0,66.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Women's Triple Jump""]",[nan]
33079,Anthony Lee Ervin,M,35.0,191.0,80.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Swimming,"[""Swimming Men's 50 metres Freestyle"", ""Swimming Men's 4 x 100 metres Freestyle Relay""]",['Gold']
33426,Andrew Evans,M,25.0,198.0,114.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Athletics,"[""Athletics Men's Discus Throw""]",[nan]
33610,"Joanne ""Nana"" Fa'avesi",F,24.0,168.0,73.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rugby Sevens,"[""Rugby Sevens Women's Rugby Sevens""]",[nan]
33749,Anthony Louis Fahden,M,30.0,181.0,71.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rowing,"[""Rowing Men's Lightweight Coxless Fours""]",[nan]
33875,Katelyn Falgowski,F,27.0,168.0,63.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Hockey,"[""Hockey Women's Hockey""]",[nan]
34099,Carmen Farmer,F,35.0,185.0,82.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Rugby Sevens,"[""Rugby Sevens Women's Rugby Sevens""]",[nan]
34164,Kent Farrington,M,35.0,173.0,66.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Equestrianism,"['Equestrianism Mixed Jumping, Team', 'Equestrianism Mixed Jumping, Individual']","[nan, 'Silver']"
34168,Kendrick James Farris,M,30.0,168.0,94.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Weightlifting,"[""Weightlifting Men's Middle-Heavyweight""]",[nan]
34233,Rachel Fattal,F,22.0,173.0,65.0,United States,USA,['2016 Summer'],2016,Summer,Rio de Janeiro,Water Polo,"[""Water Polo Women's Water Polo""]",['Gold']
